1|12869254921820523206|9564960652945002414|
2|15799449535561764729|12137331775537098290|
3|3286879307332468753|12835167758623912144|
4|66433299064696801|11537447451954415380|
5|7538795865129471772|6777514010102155263|
6|5755939125380251626|8361731699313775348|
7|11942931021295608898|3916322381204545972|
8|13440916324205191917|12845223891346875792|
9|5891415541721220639|4238270219777161419|
10|9409632612880507871|10175493497858933741|
1|12869254921820523206|9564960652945002414|
2|15799449535561764729|12137331775537098290|
3|3286879307332468753|12835167758623912144|
4|66433299064696801|11537447451954415380|
5|7538795865129471772|6777514010102155263|
6|5755939125380251626|8361731699313775348|
7|11942931021295608898|3916322381204545972|
8|13440916324205191917|12845223891346875792|
9|5891415541721220639|4238270219777161419|
10|9409632612880507871|10175493497858933741|
1|12869254921820523206|9564960652945002414|
2|15799449535561764729|12137331775537098290|
3|3286879307332468753|12835167758623912144|
4|66433299064696801|11537447451954415380|
5|7538795865129471772|6777514010102155263|
6|5755939125380251626|8361731699313775348|
7|11942931021295608898|3916322381204545972|
8|13440916324205191917|12845223891346875792|
9|5891415541721220639|4238270219777161419|
10|9409632612880507871|10175493497858933741|
